steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
5751280	5730	121910.36505746841	29.951219512197007	30.00000000000189	1.1821848314075205	32.000000000002245	27.000000000001357	0.8719297478874625	1.0060081679704815	1432819
6002575	5814	127142.43421173096	29.341463414636003	29.00000000000189	1.2167529761123612	32.00000000000207	26.000000000001535	0.899599379290784	0.95582554289248	1495643
6251516	5898	132339.0870101452	29.292682926831088	29.00000000000189	0.9550890649313583	31.000000000002068	28.000000000001535	0.9143561818433441	0.9215888252022496	1557878
6500516	5981	137507.75518512726	29.951219512196978	30.00000000000189	1.1391053399970992	33.00000000000174	28.000000000001535	0.9187999693904345	0.9380119802253577	1620128
6752516	6065	142728.53723931313	29.609756097562798	30.00000000000189	1.1592680617633864	33.00000000000171	27.000000000001364	0.9422350091416287	0.9302154524337028	1683128
7001516	6148	147903.44776320457	29.390243902440854	29.00000000000189	1.282147588628039	32.00000000000207	26.00000000000156	0.9389022081248839	0.9255601503140326	1745378
7252600	6232	153103.90480780602	29.29268292683111	29.00000000000189	1.4533393003533333	33.00000000000189	27.000000000001535	0.9261611547277646	0.9364405285651736	1808149
7501600	6315	158267.10605978966	29.048780487806674	29.000000000001712	1.223748738757287	32.000000000002224	27.000000000001357	0.9446904103917659	0.9282258466024602	1870399
7751840	6399	163463.35630226135	28.00073170731873	28.000000000001712	2.0500175490030936	30.000000000001982	17.980000000000135	0.940668079903496	0.9318533085572364	1932959
8000840	6482	168666.23415470123	26.649534883722396	28.000000000001712	4.472525095614585	31.000000000002068	11.459999999999694	0.9373935110746761	0.9428903568657347	1995209
8252385	6566	173924.16837191582	29.414634146343307	29.00000000000189	1.3959872806745728	33.00000000000189	27.000000000001357	0.9710154337791391	0.8936108696549674	2058096
8501385	6649	179148.48118281364	29.243902439026183	29.00000000000189	1.090423949775581	32.000000000002224	26.00000000000127	0.9556194669532384	0.8948882841389312	2120346
8750383	6732	184375.1708097458	29.731707317075006	30.00000000000189	1.2252426340098341	33.00000000000174	28.000000000001357	0.9694584033350274	0.8747960498773925	2182595
9001113	6816	189601.1258869171	29.34975609756278	30.00000000000189	1.5838252552049346	32.000000000002245	22.34000000000079	0.9698319135382626	0.8877420606800078	2245278
9250113	6899	194946.1879477501	29.853658536587247	30.00000000000189	0.8234371745846301	32.00000000000171	28.00000000000156	0.9897646653966128	0.8903889077770338	2307528
9501610	6983	202283.2440021038	29.73170731707502	30.00000000000189	1.1185792382282644	32.00000000000207	27.000000000001535	0.9821609448209792	0.851703661594064	2370402
9751256	7067	207897.26853370667	29.756097560977437	30.00000000000189	1.1785687889318228	32.000000000002245	28.000000000001535	0.9387409670442857	0.8207610282506217	2432813
10000256	7150	213149.1958808899	29.829268292684777	30.00000000000189	1.2227517946090714	34.00000000000169	28.000000000001535	0.9731558047104668	0.870633556608282	2495063
10252256	7234	218446.07433390617	29.560975609757943	30.00000000000189	0.8381163549236178	31.000000000002245	28.000000000001535	0.9483723216621855	0.8746449509982175	2558063
10501256	7317	223697.57979154587	29.01073170731885	29.000000000002068	1.673535763352597	32.00000000000189	22.440000000000964	0.986851391893892	0.8809050572663996	2620313
10750256	7400	228950.48519802094	29.439024390245734	30.00000000000189	1.096557807135772	32.00000000000207	27.000000000001382	0.9612425344290935	0.8939276565044502	2682563
11002135	7484	234230.7000067234	29.951219512197003	30.00000000000189	1.2440100383879515	34.00000000000181	27.00000000000158	0.9573545884952923	0.8473582899738724	2745533
11251135	7567	239424.43462705612	29.731707317075024	30.00000000000189	0.9226155820249574	33.00000000000187	28.000000000001535	0.979230780835335	0.79279448227464	2807783
11500135	7650	244615.24669265747	28.951219512196914	29.000000000001712	1.2835735178048877	33.00000000000171	27.000000000001357	0.9761282957764751	0.896543584752804	2870033
11752135	7734	249878.84663915634	29.975609756099452	30.00000000000189	1.036527975455838	33.00000000000171	27.00000000000154	0.975930223331503	0.8977530373139117	2933033
12001135	7817	255098.09560513496	29.658536585367703	30.00000000000189	1.015129452276031	32.00000000000207	27.000000000001712	0.9878200445233146	0.8474320969420426	2995283
12252075	7901	260303.0488011837	29.95121951219699	30.00000000000189	1.0712427248807832	32.00000000000207	27.00000000000156	0.9745183865931859	0.7338227707421002	3058018
12500954	7984	265483.437387228	29.274634146343264	30.00000000000189	1.4040585770562681	31.000000000002068	23.260000000001273	0.9832451177991219	0.7117356098705127	3120238
12752954	8068	270739.12754654884	29.279024390245727	30.000000000001734	1.6787015888450516	32.000000000002224	23.440000000000936	0.9808580540735266	0.8869739491899202	3183238
13001954	8151	275919.0177462101	28.55261904762076	29.5000000000018	2.9807521227353853	31.000000000002068	16.419999999999938	0.9688026690534326	0.8430257208162745	3245488
13250935	8234	281123.3332092762	29.63414634146529	30.00000000000189	1.1566351533863122	32.00000000000189	26.000000000001535	0.9848376400778256	0.803705193553611	3307733
13502935	8318	286393.84769129753	30.024390243904353	30.00000000000189	0.8212126666720232	32.00000000000207	28.000000000001712	0.9896732357992105	0.8303094096006916	3370733
13751935	8401	291629.82845687866	30.024390243904346	30.00000000000189	0.9350883615480399	32.000000000002046	28.000000000001535	0.9748437565348254	0.7698189261677744	3432983
14000670	8484	296815.02618312836	29.853658536587226	30.00000000000189	0.7924952873600649	31.000000000002068	28.000000000001535	0.9709177926105436	0.748026105238378	3495167
14251168	8568	302035.8637473583	29.70731707317259	30.00000000000189	0.9550890649313236	31.000000000002068	27.000000000001535	0.9840675961490172	0.8843951037377863	3557791
14502137	8652	307279.2681157589	29.41951219512376	30.00000000000189	1.589216711496001	32.00000000000189	22.200000000000788	0.982410075208013	0.8978989337122165	3620534
14750489	8735	312504.4331691265	29.87804878048969	30.00000000000189	1.268761639379618	32.000000000002245	27.00000000000156	0.9853329971917502	0.8103589280861117	3682622
15001342	8819	317776.0734307766	29.439024390245756	30.000000000001712	0.9232762448966004	31.00000000000209	27.000000000001712	0.9830355129844126	0.774769920367028	3745335
